               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042093,            0.020088,            0.010884,             0.68029,              0.7082,             0.72088,             0.39838,            0.027907,           0.0073939,           0.0099408,           0.0082675,           0.0082675,           0.0082675
                  37,            0.042362,            0.019914,            0.010826,             0.67286,             0.70696,             0.71765,             0.39985,            0.027848,           0.0073615,           0.0096328,            0.008218,            0.008218,            0.008218
                  38,            0.042301,            0.019879,            0.010593,             0.68087,             0.70402,             0.71952,             0.40414,            0.027596,           0.0073076,           0.0096683,           0.0081685,           0.0081685,           0.0081685
                  39,            0.042236,            0.019876,            0.010739,             0.68178,             0.71206,             0.72362,             0.40683,            0.027388,           0.0072773,           0.0097651,            0.008119,            0.008119,            0.008119
                  40,            0.041863,            0.019925,            0.010328,             0.68815,              0.7164,             0.72144,             0.40723,             0.02732,           0.0072586,           0.0097217,           0.0080695,           0.0080695,           0.0080695
                  41,            0.042043,            0.019796,            0.010652,             0.69715,             0.71474,              0.7256,             0.41073,            0.027271,           0.0072498,           0.0096526,             0.00802,             0.00802,             0.00802
                  42,            0.041793,             0.01979,            0.010257,             0.69671,             0.72076,             0.72944,             0.41322,            0.027132,           0.0072327,           0.0097344,           0.0079705,           0.0079705,           0.0079705
                  43,            0.041865,            0.019884,            0.010423,             0.70182,             0.71991,              0.7318,             0.41369,            0.027129,            0.007221,           0.0097254,            0.007921,            0.007921,            0.007921
                  44,              0.0417,            0.019599,            0.010284,             0.69704,             0.72484,              0.7336,             0.41587,            0.027094,            0.007198,           0.0097722,           0.0078715,           0.0078715,           0.0078715
                  45,            0.041453,            0.019549,            0.010026,             0.70611,             0.71791,             0.73635,             0.41809,            0.026997,           0.0071815,           0.0097726,            0.007822,            0.007822,            0.007822
                  46,            0.041328,            0.019657,           0.0097062,             0.70324,             0.72292,             0.73895,             0.42052,            0.026953,            0.007175,            0.009809,           0.0077725,           0.0077725,           0.0077725
                  47,            0.041169,             0.01936,           0.0098249,             0.69261,             0.73196,             0.74001,              0.4225,             0.02691,           0.0071568,           0.0098015,            0.007723,            0.007723,            0.007723
                  48,            0.040957,            0.019472,            0.009573,             0.69988,             0.73319,             0.74211,             0.42467,            0.026831,           0.0071452,           0.0098309,           0.0076735,           0.0076735,           0.0076735
                  49,            0.041206,            0.019469,           0.0095771,             0.69997,             0.73101,              0.7421,             0.42545,            0.026773,            0.007134,           0.0098608,            0.007624,            0.007624,            0.007624
                  50,            0.041002,            0.019479,           0.0095564,             0.70711,             0.72963,             0.74358,             0.42761,            0.026675,           0.0071249,           0.0098766,           0.0075745,           0.0075745,           0.0075745
                  51,            0.041141,            0.019387,           0.0092632,              0.7115,             0.73262,             0.74614,              0.4287,            0.026666,           0.0071147,           0.0098791,            0.007525,            0.007525,            0.007525
                  52,            0.040959,            0.019512,           0.0092129,             0.70864,             0.73932,             0.74948,             0.43007,            0.026634,            0.007108,           0.0098824,           0.0074755,           0.0074755,           0.0074755
                  53,            0.040812,            0.019362,           0.0095139,             0.71101,             0.74229,             0.75126,             0.43108,             0.02661,           0.0070967,            0.009904,            0.007426,            0.007426,            0.007426
                  54,            0.040533,             0.01932,           0.0093407,             0.71034,             0.74507,               0.753,             0.43247,            0.026568,           0.0070895,           0.0099094,           0.0073765,           0.0073765,           0.0073765
                  55,            0.040512,            0.019388,           0.0088585,             0.71256,              0.7461,             0.75345,             0.43364,            0.026517,           0.0070783,           0.0099185,            0.007327,            0.007327,            0.007327
                  56,            0.040406,            0.019184,           0.0090606,             0.71534,               0.745,             0.75174,             0.43394,            0.026476,           0.0070709,           0.0099158,           0.0072775,           0.0072775,           0.0072775
                  57,            0.040411,            0.019276,           0.0090548,             0.71676,             0.74401,             0.75289,             0.43421,            0.026453,           0.0070632,           0.0098997,            0.007228,            0.007228,            0.007228
                  58,            0.040494,            0.019148,           0.0090123,             0.71801,             0.74437,             0.75498,              0.4354,            0.026423,           0.0070571,           0.0099045,           0.0071785,           0.0071785,           0.0071785
                  59,            0.040152,            0.019188,           0.0085078,             0.71275,             0.74519,             0.75413,             0.43531,            0.026397,           0.0070522,           0.0099124,            0.007129,            0.007129,            0.007129
                  60,            0.040126,            0.019006,           0.0084184,             0.71255,             0.74651,             0.75522,             0.43524,            0.026358,           0.0070438,           0.0099253,           0.0070795,           0.0070795,           0.0070795
                  61,            0.039862,            0.019146,           0.0089558,             0.71229,             0.74825,             0.75375,             0.43611,             0.02633,           0.0070375,           0.0099284,             0.00703,             0.00703,             0.00703
                  62,            0.040178,            0.019285,           0.0089649,             0.71247,             0.75087,             0.75595,             0.43668,            0.026313,             0.00703,           0.0099358,           0.0069805,           0.0069805,           0.0069805
                  63,            0.039876,            0.018887,           0.0086773,             0.71221,             0.75497,             0.75681,             0.43659,            0.026304,           0.0070233,           0.0099367,            0.006931,            0.006931,            0.006931
                  64,            0.039887,            0.018985,           0.0084266,             0.71359,             0.75424,              0.7573,               0.438,            0.026276,            0.007017,           0.0099508,           0.0068815,           0.0068815,           0.0068815
                  65,            0.039836,            0.018977,           0.0086301,             0.71495,             0.75168,             0.75583,             0.43854,            0.026243,           0.0070101,           0.0099644,            0.006832,            0.006832,            0.006832
                  66,            0.039912,            0.018879,           0.0086111,             0.71599,             0.75623,             0.75679,             0.43826,            0.026214,           0.0070034,           0.0099793,           0.0067825,           0.0067825,           0.0067825
                  67,            0.039713,            0.018748,           0.0083444,             0.71856,              0.7569,             0.75708,             0.43879,            0.026193,           0.0069967,           0.0099982,            0.006733,            0.006733,            0.006733
                  68,             0.03965,            0.018913,           0.0080217,             0.71994,             0.76003,             0.75804,             0.43993,            0.026166,           0.0069887,            0.010012,           0.0066835,           0.0066835,           0.0066835
                  69,            0.039372,            0.018851,           0.0080788,             0.72315,             0.76058,             0.76102,             0.44005,            0.026146,           0.0069805,            0.010017,            0.006634,            0.006634,            0.006634
                  70,            0.039533,             0.01886,           0.0083041,             0.72238,             0.76486,             0.76265,             0.44082,            0.026126,           0.0069741,            0.010017,           0.0065845,           0.0065845,           0.0065845
                  71,            0.039387,            0.018746,           0.0079384,              0.7251,             0.76546,              0.7635,             0.44176,            0.026092,           0.0069652,            0.010026,            0.006535,            0.006535,            0.006535
                  72,            0.039349,            0.018717,           0.0076169,              0.7243,             0.76796,             0.76424,              0.4417,            0.026059,            0.006955,             0.01003,           0.0064855,           0.0064855,           0.0064855
                  73,            0.039118,            0.018774,           0.0082426,             0.72668,             0.76839,             0.76579,             0.44334,            0.026028,           0.0069453,            0.010035,            0.006436,            0.006436,            0.006436
                  74,            0.038991,            0.018494,           0.0076935,             0.72981,             0.76932,             0.76752,             0.44399,            0.026004,           0.0069371,            0.010041,           0.0063865,           0.0063865,           0.0063865
                  75,            0.039202,            0.018615,           0.0077932,             0.72668,             0.77494,             0.76836,             0.44443,            0.025976,           0.0069275,            0.010037,            0.006337,            0.006337,            0.006337
                  76,            0.038982,            0.018648,            0.007822,             0.73046,             0.77561,             0.76909,             0.44596,            0.025944,           0.0069201,            0.010041,           0.0062875,           0.0062875,           0.0062875
                  77,              0.0391,            0.018594,           0.0080207,             0.72902,             0.77586,             0.76986,              0.4466,            0.025911,           0.0069133,            0.010043,            0.006238,            0.006238,            0.006238
                  78,            0.038981,            0.018654,           0.0076277,             0.73268,             0.77506,             0.77198,             0.44707,            0.025887,           0.0069038,             0.01004,           0.0061885,           0.0061885,           0.0061885
                  79,            0.038701,            0.018419,           0.0074117,             0.72874,              0.7811,             0.77317,             0.44795,            0.025861,           0.0068928,            0.010036,            0.006139,            0.006139,            0.006139
                  80,            0.038752,            0.018393,           0.0075859,             0.73292,             0.78121,             0.77472,             0.44895,            0.025825,           0.0068827,             0.01004,           0.0060895,           0.0060895,           0.0060895
                  81,            0.038626,            0.018371,           0.0076544,             0.73525,             0.78246,             0.77614,             0.44982,            0.025795,           0.0068708,            0.010049,             0.00604,             0.00604,             0.00604
                  82,            0.038501,            0.018503,           0.0076829,             0.73919,             0.78139,             0.77662,              0.4505,            0.025766,           0.0068619,            0.010054,           0.0059905,           0.0059905,           0.0059905
                  83,            0.038505,            0.018389,            0.007246,             0.73705,             0.78465,             0.77818,             0.45092,            0.025733,           0.0068512,            0.010061,            0.005941,            0.005941,            0.005941
                  84,            0.038664,             0.01823,            0.007088,             0.74179,             0.78479,             0.78002,             0.45255,            0.025693,           0.0068408,            0.010069,           0.0058915,           0.0058915,           0.0058915
                  85,            0.038336,            0.018365,           0.0070337,             0.74241,             0.78557,             0.78096,             0.45328,            0.025656,            0.006832,            0.010077,            0.005842,            0.005842,            0.005842
                  86,            0.038157,             0.01828,            0.007267,              0.7448,             0.78561,             0.78293,             0.45431,            0.025627,           0.0068218,            0.010075,           0.0057925,           0.0057925,           0.0057925
