               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042582,            0.020094,            0.010374,             0.69812,             0.67948,             0.70498,             0.40616,            0.027264,           0.0072925,           0.0099976,           0.0082675,           0.0082675,           0.0082675
                  37,            0.042322,            0.019803,           0.0098685,             0.70084,             0.68523,             0.71514,             0.40965,            0.026894,           0.0072636,           0.0097945,            0.008218,            0.008218,            0.008218
                  38,            0.042126,            0.019979,           0.0098134,              0.7107,             0.69409,             0.72259,             0.41663,              0.0267,            0.007219,            0.009452,           0.0081685,           0.0081685,           0.0081685
                  39,             0.04206,            0.019798,           0.0097222,             0.71504,             0.68959,             0.72008,             0.41522,             0.02687,           0.0071929,           0.0094884,            0.008119,            0.008119,            0.008119
                  40,            0.042145,            0.019671,           0.0095885,             0.70721,             0.69057,             0.72073,             0.41809,            0.026753,           0.0071952,           0.0095517,           0.0080695,           0.0080695,           0.0080695
                  41,            0.041735,            0.019653,           0.0093666,             0.71443,             0.68993,             0.72457,             0.42222,            0.026642,           0.0071584,           0.0092722,             0.00802,             0.00802,             0.00802
                  42,            0.042005,             0.01958,           0.0093402,             0.70476,             0.69695,             0.72805,             0.42548,             0.02647,            0.007108,           0.0092951,           0.0079705,           0.0079705,           0.0079705
                  43,             0.04163,            0.019643,           0.0093903,             0.69292,             0.70075,             0.72641,             0.42653,            0.026531,           0.0070802,           0.0095715,            0.007921,            0.007921,            0.007921
                  44,            0.041747,            0.019697,           0.0091041,              0.7137,             0.69826,             0.73166,             0.42757,            0.026594,           0.0070829,           0.0095973,           0.0078715,           0.0078715,           0.0078715
                  45,            0.041378,            0.019594,           0.0090534,             0.71431,             0.70357,             0.73424,             0.42961,            0.026536,           0.0070697,            0.009636,            0.007822,            0.007822,            0.007822
                  46,            0.041255,            0.019283,            0.008615,             0.70515,             0.72528,             0.73563,             0.43122,            0.026425,           0.0070579,           0.0097083,           0.0077725,           0.0077725,           0.0077725
                  47,            0.041199,            0.019577,           0.0087028,             0.70737,             0.72554,             0.73447,             0.43196,            0.026287,           0.0070446,           0.0096087,            0.007723,            0.007723,            0.007723
                  48,            0.040991,             0.01931,           0.0087233,             0.71359,             0.73408,             0.73942,             0.43571,            0.026181,           0.0070329,           0.0095035,           0.0076735,           0.0076735,           0.0076735
                  49,            0.041083,            0.019163,           0.0085386,             0.71486,             0.73503,             0.74147,             0.43653,            0.026071,           0.0070197,           0.0094984,            0.007624,            0.007624,            0.007624
                  50,             0.04093,            0.019253,           0.0086572,             0.72245,              0.7357,             0.74257,             0.43893,             0.02597,            0.007005,             0.00939,           0.0075745,           0.0075745,           0.0075745
                  51,            0.040847,            0.019449,           0.0084668,              0.7256,              0.7344,             0.74378,              0.4415,            0.025907,           0.0069983,           0.0093895,            0.007525,            0.007525,            0.007525
